brand,model,year,mileage,fuel,power_ps,price
BMW,525 d,2011,317000,Diesel,204,5990
Kia,Ceed SW,2022,105000,Diesel,136,144501
Renault,Clio 5,2022,19627,Benzin,91,132801
Mazda,3 Exclusive-Line,2024,8220,Benzin,186,249901
Mercedes-Benz,A 180,2013,282000,Diesel,109,7590
Honda,Jazz 1.3,2017,87354,Benzin,102,9980
Volkswagen,T-Roc 1.0,2022,36488,Benzin,110,177701
Ford,Focus Turnier,2024,11100,Benzin,155,238701
Renault,Megane II,2007,131000,Benzin,111,2990
Opel,Corsa F,2024,5771,Benzin,101,15550
Suzuki,Jimny,2026,1999,Benzin,105,449001
Dacia,Duster TCe,2025,5,Benzin,131,239901
Ford,Kuga 1.5,2022,69900,Benzin,150,164501
Hyundai,TUCSON 1.6,2024,16907,Benzin,230,304701
Mazda,CX-5 Sports-Line,2015,116963,Diesel,175,11999
Skoda,Octavia 1.4,2018,115180,Benzin,150,13970
Ford,Mondeo /Automatikgetriebe/Tüv,2018,231000,Benzin,160,67501
Volkswagen,T-Cross 1.0,2022,25037,Benzin,110,194801
Renault,Espace 1.6,2015,122895,Diesel,160,9499
Ford,Focus Cool,2022,89998,Diesel,120,139901
Volkswagen,Sharan Comfortline,2014,238000,Diesel,140,7685
Mitsubishi,ASX 1.6,2019,42904,Benzin,117,13990
Fiat,500e Action,2023,16857,Elektro,95,129501
Opel,Corsa Elegance,2023,16606,Benzin,101,149691
Citroen,C4 1.2PureTech,2024,36393,Benzin,131,169501
Mercedes-Benz,CLA 220,2015,218500,Diesel,177,15450
Volkswagen,T6 Transporter,2021,171000,Diesel,150,179801
Mercedes-Benz,Vito Tourer,2015,116050,Diesel,163,199901
BMW,X5 xD50e,2025,9416,Benzin,489,854991
BMW,M4 SCHALTER/HUD/H&K/360°/LASER/CARPLAY,2022,1325,Benzin,480,59900
MG,MG5 Comf,2022,9150,Elektro,177,154501
MINI,Cooper SE,2024,10263,Elektro,184,199901
Mercedes-Benz,E 300,2022,45556,Benzin,320,354501
BMW,745 745,2021,42600,Benzin,286,49990
Volkswagen,T4 Kombi,1994,333578,Diesel,117,1299
Audi,A3 Sportback,2017,126915,Benzin,116,12500
Renault,Megane IV,2022,36600,Benzin,91,15900
Maserati,Ghibli GranSport,2019,69650,Benzin,350,34813
Opel,Mokka-E GS,2022,32950,Elektro,136,154501
Mercedes-Benz,E 250,2011,220000,Diesel,204,9890
