brand,model,year,mileage,fuel,transmission,power_ps,price
Opel,Corsa-e Edition+Sitz-LenkradHzg+PDC+CarPlay,2024,8100,Elektro,,136,185401
Audi,Q4 e-tron,2023,27498,Elektro,,265,299301
Jeep,Cherokee 2.0,2015,102000,Diesel,,170,14890
Mercedes-Benz,EQB 250,2023,33609,Elektro,,190,328901
Jaguar,F-Pace 2.0d,2021,142878,Diesel,,204,244501
Peugeot,5008 Active,2019,82550,Benzin,,131,143901
Volkswagen,T-Cross 1.0,2025,5448,Benzin,,116,237001
Ford,Tourneo Custom,2019,174382,Diesel,,185,269901
Audi,e-tron 35,2022,40991,Elektro,,170,264501
Volkswagen,T-Roc 1.0,2021,21720,Benzin,,110,182021
Mercedes-Benz,ML 280,2007,171470,Diesel,,190,8990
Nissan,Qashqai 1.2,2017,72561,Benzin,,116,13990
Lada,Niva Niva,2001,118500,Benzin,,82,1499
Nissan,Qashqai 1.2,2017,72561,Benzin,,116,13990
Dacia,Spring ELECTRIC,2024,4814,Elektro,,65,135001
Audi,Q5 50,2023,28404,Benzin,,299,329301
Hyundai,KONA 1.0T-GDI,2024,9410,Benzin,,120,219001
Peugeot,508 SW,2023,12897,Benzin,,181,23789
Tesla,Model S,2014,230000,Elektro,,367,17490
Opel,Mokka-E 136,2022,30529,Elektro,,136,139801
Peugeot,2008 ALL,2008,25417,Elektro,,136,157801
Mercedes-Benz,EQA 250,2025,5056,Elektro,,190,362951
Hyundai,TUCSON 136PS,2016,192100,Diesel,,136,10890
CUPRA,Formentor 1.5,2024,20079,Benzin,,150,233491
